species,scientific_name,habitat,distribution,conservation_status,ecological_importance,description
Horse,Equus ferus,Grasslands,Worldwide,Domesticated,Transport and farming,"The horse (Equus ferus caballus) is one of two extant subspecies of Equus ferus. It is an odd-toed ungulate mammal belonging to the taxonomic family Equidae. The horse has evolved over the past 45 to 55 million years from a small multi-toed creature, Eohippus, into the large, single-toed animal of today. Humans began domesticating horses around 3500 BC, and their domestication was widespread by 2000 BC. Horses in the subspecies caballus are domesticated, although some domesticated populations live in the wild as feral horses. These feral populations are not true wild horses, as this term is used to describe horses that have never been domesticated."
Cow,Bos taurus,Farms,Worldwide,Domesticated,Milk and meat,"Cattle (Bos taurus) are large, domesticated, cloven-hoofed, herbivores. They are a prominent modern member of the subfamily Bovinae of the family Bovidae. This species is the most widespread kind of domesticated ungulate. Cattle are commonly raised as livestock for meat (beef or veal), for milk (dairy cattle), and for hides, which are used to make leather. They are used as riding animals and draft animals (oxen or bullocks, which pull carts, plows and other implements). Another product of cattle is leur dung, which can be used to create manure or fuel. In some regions, such as parts of India, cattle have significant religious meaning. From as few as 80 ancestors domesticated in southeast Turkey about 10,500 years ago, an estimated 1.5 billion cattle are in the world today."
Goat,Capra aegagrus,Farms and hills,Worldwide,Domesticated,Grazing,"The domestic goat or simply goat (Capra aegagrus hircus) is a subspecies of C. aegagrus domesticated from the wild goat of Southwest Asia and Eastern Europe. The goat is a member of the animal family Bovidae and the subfamily Caprinae, meaning it is closely related to the sheep. There are over 300 distinct breeds of goat. It is one of the oldest domesticated species of animal, according to archaeological evidence that its earliest domestication occurred in Iran at 10,000 calibrated calendar years ago. Goats have been used for milk, meat, fur, and skins across much of the world. Milk from goats is often turned into goat cheese."
Sheep,Ovis aries,Grasslands,Worldwide,Domesticated,Wool production,"Sheep (Ovis aries) are quadrupedal, ruminant mammals typically kept as livestock. Like all ruminants, sheep are members of the order Artiodactyla, the even-toed ungulates. Although the name sheep applies to many species in the genus Ovis, in everyday usage it almost always refers to Ovis aries. Numbering a little over one billion, domestic sheep are also the most numerous species of sheep. An adult female sheep is referred to as a ewe, an intact male as a ram or occasionally a tup, a castrated male as a wether, and a younger sheep as a lamb. Sheep are most likely descended from the wild mouflon of Europe and Asia, with Iran being a geometric envelope of the domestication center. One of the earliest animals to be domesticated for agricultural purposes, sheep are raised for fleeces, meat and milk."
Dog,Canis lupus familiaris,Human settlements,Worldwide,Domesticated,Companion animal,"The dog (Canis lupus familiaris) is a domesticated descendant of the wolf. Also called the domestic dog, it is derived from an extinct Pleistocene wolf, and the modern wolf is the dog's nearest living relative. The dog was the first species to be domesticated, by hunter–gatherers over 15,000 years ago, before the development of agriculture. Due to their long association with humans, dogs have expanded to a large number of domestic individuals and gained the ability to thrive on a starch-rich diet that would be inadequate for other canids. Over the millennia, dogs became uniquely adapted to human behavior, and the human–canine bond has been a topic of frequent study. Dogs are used for various roles, including hunting, herding, pulling loads, protection, assisting police and the military, companionship, and therapy."
Cat,Felis catus,Homes,Worldwide,Domesticated,Pest control,"The cat (Felis catus) is a domestic species of small carnivorous mammal. It is the only domesticated species in the family Felidae and is commonly referred to as the domestic cat or house cat to distinguish it from the wild members of the family. Cats are commonly kept as house pets but can also be farm cats or feral cats; the latter ranges freely and avoids human contact. Domestic cats are valued by humans for companionship and their ability to kill rodents. About 60 cat breeds are recognized by various cat registries. The cat is similar in anatomy to the other felid species: it has a strong flexible body, quick reflexes, sharp teeth, and retractable claws adapted to killing small prey. Its night vision and sense of smell are well developed."
Monkey,Macaca mulatta,Forests,Asia,Least Concern,Seed disperser,"Monkey is a common name that may refer to most mammals of the infraorder Simiiformes, also known as the simians. Traditionally, all animals in the group now known as simians are counted as monkeys except the apes, a grouping known as paraphyletic; however, in the broader sense based on cladistics, apes (Hominoidea) are also included, making the terms monkeys and simians synonyms in regards to their scope. Monkeys are divided into the New World monkeys (Platyrrhini) of Central and South America and the Old World monkeys (Cercopithecidae) of Africa and Asia. New World monkeys have prehensile tails while Old World monkeys do not. Old World monkeys are more closely related to apes than they are to New World monkeys."
Gorilla,Gorilla gorilla,Forests,Africa,Endangered,Ecosystem balance,"Gorillas are herbivorous, predominantly ground-dwelling great apes that inhabit the tropical forests of equatorial Africa. The genus Gorilla is divided into two species: the eastern gorilla and the western gorilla, and either four or five subspecies. The DNA of gorillas is highly similar to that of humans, from 95 to 99% depending on what is included, and they are the next closest living relatives to humans after the chimpanzees and bonobos. Gorillas are the largest living primates, reaching heights between 1.25 and 1.8 metres, weights between 100 and 270 kg, and arm spans up to 2.6 metres, depending on species and sex. They tend to live in troops, with the leader being called a silverback."
Chimpanzee,Pan troglodytes,Forests,Africa,Endangered,Seed dispersal,"The chimpanzee (Pan troglodytes), also known as the common chimpanzee or simply chimp, is a species of great ape native to the forests and savannahs of tropical Africa. It has four confirmed subspecies and a fifth proposed one. The chimpanzee and the closely related bonobo (sometimes called the 'pygmy chimpanzee') are classified in the genus Pan. Evidence from fossils and DNA sequencing shows that Pan is a sister taxon to the human lineage and is humans' closest living relative. The chimpanzee is covered in coarse black hair, but has a bare face, fingers, toes, palms of the hands, and soles of the feet. It is larger and more robust than the bonobo, weighing 40–70 kg (88–154 lb) for males and 27–50 kg (60–110 lb) for females and standing 100 to 150 cm (3.3 to 4.9 ft)."
Bat,Chiroptera spp.,Caves and forests,Worldwide,Least Concern,Pest control,"Bats are mammals of the order Chiroptera. With their forelimbs adapted as wings, they are the only mammals capable of true and sustained flight. Bats are more maneuverable than most birds, flying with their very long spread-out digits covered with a thin membrane or patagium. The smallest bat, and arguably the smallest extant mammal, is Kitti's hog-nosed bat, which is 29–34 mm (1.1–1.3 in) long, 150 mm (5.9 in) across the wings and weighs 2–2.6 g (0.07–0.09 oz). The largest bats are the flying foxes, which can weigh 1.6 kg (3.5 lb) and have a wingspan of 1.7 m (5 ft 7 in). Next to rodents, bats are the second largest order of mammals, comprising about 20% of all classified mammal species worldwide, with about 1,400 species."
Whale,Balaenoptera musculus,Oceans,Worldwide,Endangered,Nutrient cycling,"Whales are a widely distributed and diverse group of fully aquatic placental marine mammals. They are an informal grouping within the infraorder Cetacea, which usually excludes dolphins and porpoises. Whales, dolphins and porpoises belong to the order Cetartiodactyla, which consists of even-toed ungulates. Their closest living relatives are the hippopotamuses, from which they diverged about 40 million years ago. The two suborders of whales, baleen whales (Mysticeti) and toothed whales (Odontoceti), are thought to have had their last common ancestor around 34 million years ago. Whales consist of eight extant families. Whales are open-ocean creatures; they feed, mate, give birth, suckle and raise their young at sea. So extreme is their adaptation to underwater life that they are unable to survive on land."
Dolphin,Delphinus delphis,Oceans,Worldwide,Least Concern,Marine balance,"Dolphin is a common name for aquatic mammals within the infraorder Cetacea. The term dolphin usually refers to the extant families Delphinidae (the oceanic dolphins), Platanistidae (the Indian river dolphins), Iniidae (the New World river dolphins), Pontoporiidae (the brackish dolphins), and the extinct Lipotidae (baiji or Chinese river dolphin). There are 40 extant species named as dolphins. Dolphins range in size from the 1.7-metre-long (5.6 ft) and 50 kg (110 lb) Maui's dolphin to the 9.5 m (31 ft) and 10 t (11 short tons) killer whale. Several species exhibit sexual dimorphism in that the males are larger than females. They have streamlined bodies and two limbs that are modified into flippers. Although not quite as flexible as seals, some dolphins can travel at speeds of up to 55.5 km/h (34.5 mph)."
Shark,Carcharodon carcharias,Oceans,Worldwide,Vulnerable,Apex predator,"Sharks are a group of elasmobranch fish characterized by a cartilaginous skeleton, five to seven gill slits on the sides of the head, and pectoral fins that are not fused to the head. Modern sharks are classified within the clade Selachimorpha (or Selachii) and are the sister group to the rays. However, the term 'shark' has also been used for extinct members of the subclass Elasmobranchii outside the Selachimorpha, such as Cladoselache and Xenacanthus, as well as other Chondrichthyes such as the holocephalid eugeneodontidans. Under this broader definition, the earliest known sharks date back to more than 420 million years ago. Since then, sharks have diversified into over 500 species. They range in size from the small dwarf lanternshark (Etmopterus perryi), a deep-sea species of only 17 centimetres (6.7 in) in length, to the whale shark."
Octopus,Octopus vulgaris,Coral reefs,Oceans,Least Concern,Predator,"An octopus (plural octopuses, octopi, or octopodes) is a soft-bodied, eight-limbed mollusc of the order Octopoda. The order consists of some 300 species and is grouped within the class Cephalopoda with squids, cuttlefish, and nautiloids. Like other cephalopods, an octopus is bilaterally symmetric with two eyes and a beak, with its mouth at the center point of the eight limbs. The soft body can rapidly alter its shape, enabling octopuses to squeeze through small gaps. They trail their eight appendages behind them as they swim. The siphon is used both for respiration and for locomotion, by expelling a jet of water. Octopuses have a complex nervous system and excellent sight, and are among the most intelligent and behaviorally diverse of all invertebrates."
Crab,Brachyura spp.,Coastal areas,Worldwide,Least Concern,Scavenger,"Crabs are decapod crustaceans of the infraorder Brachyura, which typically have a very short projecting 'tail' (abdomen), usually hidden entirely under the thorax. They live in all the world's oceans, in fresh water, and on land, are generally covered with a thick exoskeleton, and have a single pair of pincers. Many other animals with similar names—such as hermit crabs, king crabs, porcelain crabs, horseshoe crabs, and crab lice—are not true crabs, but have evolved features similar to true crabs through a process known as carcinisation. Crabs are found in all of the world's oceans, while many crabs live in fresh water and on land, particularly in tropical regions. Crabs vary in size from the pea crab, a few millimeters wide, to the Japanese spider crab, with a leg span up to 4 m (13 ft)."
Fish,Salmo salar,Rivers and oceans,North Atlantic,Least Concern,Food source,"Fish are aquatic, craniate, gill-bearing animals that lack limbs with digits. Included in this definition are the living hagfish, lampreys, and cartilaginous and bony fish as well as various extinct related groups. Most fish are ectothermic ('cold-blooded'), allowing their body temperatures to vary as ambient temperatures change, though some of the large active swimmers like white shark and tuna can hold a higher core temperature. Fish are abundant in most bodies of water. They can be found in nearly all aquatic environments, from high mountain streams to the abyssal and even hadal depths of the deepest oceans. At 34,300 described species, fish exhibit greater species diversity than any other group of vertebrates."
Frog,Rana temporaria,Wetlands,Worldwide,Vulnerable,Insect control,"A frog is any member of a diverse and largely carnivorous group of short-bodied, tailless amphibians composing the order Anura. The oldest fossil 'proto-frog' appeared in the early Triassic of Madagascar, but molecular clock dating suggests their origins may extend further back to the Permian, 265 million years ago. Frogs are widely distributed, ranging from the tropics to subarctic regions, but the greatest concentration of species diversity is in tropical rainforests. There are about 7,300 recorded species, which account for around 88% of extant amphibian species. They are also one of the five most diverse vertebrate orders. Warty frog species tend to be called toads, but the distinction between frogs and toads is informal, not from taxonomy or evolutionary history."
Toad,Bufo bufo,Wetlands,Europe,Least Concern,Insect control,"Toad is a common name for certain amphibians, especially of the family Bufonidae, that are characterized by dry, leathery skin, short legs, and large bumps covering the parotoid glands. A distinction between frogs and toads is not made in scientific taxonomy, but is common in popular culture (folk taxonomy), in which toads are associated with drier, terrestrial habitats and frogs with wetter, aquatic habitats. The bumps on a toad's skin are actually the ends of parotoid glands, which secrete a milky, toxic fluid called bufotoxin. Toads are found on every continent except Antarctica. They are primarily nocturnal and spend the day in burrows or under logs and rocks. They emerge at night to hunt for insects and other small invertebrates."
Snake,Naja naja,Forests,Asia,Least Concern,Rodent control,"Snakes are elongated, limbless, carnivorous reptiles of the suborder Serpentes. Like all other squamates, snakes are ectothermic, amniote vertebrates covered in overlapping scales. Many species of snakes have skulls with several more joints than their lizard ancestors, enabling them to swallow prey much larger than their heads with their highly mobile jaws. To accommodate their narrow bodies, snakes' paired organs (such as kidneys) appear one in front of the other instead of side by side, and most have only one functional lung. Some species retain a pelvic girdle with a pair of vestigial claws on either side of the cloaca. Lizards have evolved elongate bodies without limbs or with greatly reduced limbs about twenty-five times independently via convergent evolution, leading to many lineages of legless lizards."
Lizard,Calotes versicolor,Forests,Asia,Least Concern,Insect control,"Lizards are a widespread group of squamate reptiles, with over 6,000 species, ranging across all continents except Antarctica, as well as most oceanic island chains. The group is paraphyletic as it excludes the snakes and Amphisbaenia, although some lizards are more closely related to these two excluded groups than they are to other lizards. Lizards range in size from chameleons and geckos a few centimeters long to the 3-meter-long Komodo dragon. Most lizards are quadrupedal, running with a strong side-to-side motion. Others are legless, and have long snake-like bodies. Some such as the forest-dwelling Draco lizards are able to glide. They are often territorial, the males fighting other males and signalling, often with bright colours, to attract mates and to intimidate rivals."
Crocodile,Crocodylus niloticus,Rivers,Africa,Least Concern,Apex predator,"Crocodiles (subfamily Crocodylinae) or true crocodiles are large semi-aquatic reptiles that live throughout the tropics in Africa, Asia, the Americas and Australia. Crocodylinae, all of whose members are considered true crocodiles, is classified as a biological subfamily. A broader sense of the term crocodile, Crocodylidae, includes the Tomistoma, while an even broader sense includes all extant members of the order Crocodilia (crocodilians), which includes the alligators and caimans, the gharials and false gharials, and all other living and fossil Crocodylomorpha. Although they appear similar, crocodiles, alligators and the gharial belong to separate biological families. The gharial, with its narrow snout, is easier to distinguish, while morphological differences are more difficult to spot in crocodiles and alligators."
Turtle,Chelonia mydas,Oceans,Worldwide,Endangered,Seagrass control,"Turtles are an order of reptiles known as Testudines, characterized by a shell developed mainly from their ribs. Modern turtles are divided into two major groups, the Pleurodira (side necked turtles) and Cryptodira (hidden necked turtles), which differ in the way the head retracts. There are 360 living and recently extinct species of turtles, including land-dwelling tortoises and freshwater terrapins. They are found on most continents, some islands and, in the case of sea turtles, much of the ocean. Like other reptiles, birds, and mammals, they breathe air and do not lay eggs underwater, although many species live in or around water. Turtles are ectotherms—their internal temperature varies according to the ambient environment. However, because of their high metabolic rate, leatherback sea turtles have a body temperature that is noticeably higher than that of the surrounding water."
Eagle,Aquila chrysaetos,Mountains,Worldwide,Least Concern,Apex predator,"Eagle is the common name for many large birds of prey of the family Accipitridae. Eagles belong to several groups of genera, some of which are closely related. Most of the 60 species of eagle are from Eurasia and Africa. Outside this area, just fourteen species can be found—two in North America, nine in Central and South America, and three in Australia. Eagles are large, powerfully built birds of prey, with heavy heads and beaks. Even the smallest eagles, such as the booted eagle (Hieraaetus pennatus), which is comparable in size to a common buzzard (Buteo buteo) or red-tailed hawk (Buteo jamaicensis), have relatively longer and more evenly broad wings, and more direct, faster flight—despite the reduced size of aerodynamic feathers. Most eagles are larger than any other raptors apart from some vultures."
Owl,Bubo bubo,Forests,Worldwide,Least Concern,Rodent control,"Owls are birds from the order Strigiformes, which includes over 200 species of mostly solitary and nocturnal birds of prey exemplified by an upright stance, a large, broad head, binocular vision, binaural hearing, sharp talons, and feathers adapted for silent flight. Exceptions include the diurnal northern hawk-owl and the gregarious burrowing owl. Owls hunt mostly small mammals, insects, and other birds, although a few species specialize in hunting fish. They are found in all regions of the Earth except polar ice caps and some remote islands. Owls are divided into two families: the true (or typical) owl family, Strigidae, and the barn-owl family, Tytonidae. They have large forward-facing eyes and ear-holes, a hawk-like beak, a flat face, and usually a conspicuous circle of feathers around each eye."
Parrot,Psittacula krameri,Forests,Asia,Least Concern,Seed disperser,"Parrots, also known as psittacines, are birds of the roughly 398 species in 92 genera comprising the order Psittaciformes, found mostly in tropical and subtropical regions. The order is subdivided into three superfamilies: the Psittacoidea ('true' parrots), the Cacatuoidea (cockatoos), and the Strigopoidea (New Zealand parrots). One-third of all parrot species are threatened by extinction, with higher aggregate extinction risk than any other comparable bird group. Parrots have a generally pantropical distribution with several species inhabiting temperate regions in the Southern Hemisphere, as well. The greatest diversity of parrots is in South America and Australasia. Characteristic features of parrots include a strong, curved bill, an upright stance, strong legs, and clawed zygodactyl feet. Many parrots are vividly coloured, and some are multi-coloured."
Sparrow,Passer domesticus,Urban areas,Worldwide,Least Concern,Seed control,"A sparrow is a member of the genus Passer. They are small passerine birds which belong to the family Passeridae. They are also known as true sparrows, or Old World sparrows, names also used for a particular subfamily of the family, the Passerinae. Many species nest on buildings and the house and Eurasian tree sparrows, in particular, inhabit cities in large numbers, so sparrows are among the most familiar of all wild birds. They are primarily seed-eaters, though they also consume small insects. Some species scavenge for food around cities and, like gulls or rock doves, will happily eat virtually anything in small quantities. Most species are about 15 cm long. They are generally small, plump, brown and grey birds with short tails and stubby, powerful beaks."
Peacock,Pavo cristatus,Forests,India,Least Concern,Cultural value,"Peafowl is a common name for three species of birds in the genera Pavo and Afropavo of the Phasianidae family, the pheasants and their allies. Male peafowl are referred to as peacocks, and female peafowl as peahens, though peafowl of either sex are often referred to colloquially as 'peacocks.' The two Asiatic species are the blue or Indian peafowl originally of the Indian subcontinent, and the green peafowl of Southeast Asia; the one African species is the Congo peafowl, native only to the Congo Basin. Male peafowl are known for their piercing calls and their extravagant plumage. The latter is especially prominent in the Asiatic species, which have an eye-spotted 'tail' or 'train' of covert feathers, which they display as part of a courtship ritual. The term peacock is properly reserved for the male."
Penguin,Aptenodytes forsteri,Antarctica,Antarctica,Near Threatened,Marine balance,"Penguins are a group of aquatic flightless birds. They live almost exclusively in the Southern Hemisphere, with only one species, the Galápagos penguin, found north of the Equator. Highly adapted for life in the water, penguins have countershaded dark and white plumage and flippers for swimming. Most penguins feed on krill, fish, squid and other forms of sea life which they catch while swimming underwater. They spend roughly half of their lives on land and the other half in the sea. Although almost all penguin species are native to the Southern Hemisphere, they are not found only in cold climates, such as Antarctica. In fact, only a few species of penguin actually live so far south. Several species live in the temperate zone, but one species, the Galápagos penguin, lives near the Equator."
Bee,Apis mellifera,Gardens,Worldwide,Least Concern,Pollination,"Bees are winged insects closely related to wasps and ants, known for their role in pollination and, in the case of the best-known bee species, the western honey bee, for producing honey and beeswax. Bees are a monophyletic lineage within the superfamily Apoidea. They are currently considered a clade, called Anthophila. There are over 16,000 known species of bees in seven recognized biological families. Some species – including honey bees, bumblebees, and stingless bees – live socially in colonies while some species – including mason bees, carpenter bees, leafcutter bees, and sweat bees – are solitary. Bees are found on every continent except Antarctica, in every habitat on the planet that contains insect-pollinated flowering plants. The most common bees in the Northern Hemisphere are the Halictidae, or sweat bees."
Ant,Formicidae spp.,Soil,Worldwide,Least Concern,Soil aeration,"Ants are eusocial insects of the family Formicidae and, along with the related wasps and bees, belong to the order Hymenoptera. Ants appeared in the mid-Cretaceous period between 110 and 130 million years ago, diversifying after the rise of flowering plants. More than 12,500 of an estimated total of 22,000 species have been classified. They are easily identified by their elbowed antennae and the distinctive node-like structure that forms their slender waists. Ants form colonies that range in size from a few dozen predatory individuals living in small natural cavities to highly organized colonies that may occupy large territories and consist of millions of individuals. Larger colonies consist of various castes of sterile, wingless females, most of which are workers; also soldiers and other specialized groups."
Butterfly,Rhopalocera,Gardens,Worldwide,Least Concern,Pollination,"Butterflies are insects in the macrolepidopteran clade Rhopalocera from the order Lepidoptera, which also includes moths. Adult butterflies have large, often brightly coloured wings, and conspicuous, fluttering flight. The group comprises the large superfamily Papilionoidea, which contains at least one former group, the skippers (formerly the superfamily Hesperioidea), and the most recent analyses suggest it also contains the moth-butterflies (formerly the superfamily Hedyloidea). Butterfly fossils date to the Paleocene, about 56 million years ago. Butterflies have the typical four-stage insect life cycle. Winged adults lay eggs on the food plant on which their larvae, known as caterpillars, will feed. The caterpillars grow, sometimes very rapidly, and when fully developed, pupate in a chrysalis."
Mosquito,Culicidae spp.,Wetlands,Worldwide,Least Concern,Food chain,"Mosquitoes are a group of about 3,500 species of small insects that are a type of fly (order Diptera). Within that order, they constitute the family Culicidae. The word 'mosquito' (formed by mosca and the diminutive -ito) is Spanish for 'little fly'. Mosquitoes have a slender segmented body, one pair of wings, one pair of halteres, three pairs of long hair-like legs and elongated mouthparts. The mosquito life cycle consists of egg, larva, pupa, and adult stages. Eggs are laid on the water surface; they hatch into motile larvae that feed on aquatic algae and organic material. The adult females of most species have tube-like mouthparts (called a proboscis) that can pierce the skin of a host and feed on blood, which contains protein and iron needed to produce eggs."
Earthworm,Lumbricus terrestris,Soil,Worldwide,Least Concern,Soil fertility,"An earthworm is a terrestrial invertebrate that belongs to the phylum Annelida. They exhibit a tube-within-a-tube body plan; they are externally segmented with corresponding internal segmentation, and usually have setae on all segments. They occur worldwide where soil, water, and temperature allow. Earthworms are commonly found in soil, eating a wide variety of organic matter. This organic matter includes plant matter, living protozoa, rotifers, nematodes, bacteria, fungi, and other microorganisms. An earthworm's digestive system runs through the length of its body. It conducts respiration through its skin. It has a dual circulatory system consisting of a coelomic fluid move within the fluid-filled coelom and a simple closed circulatory system. It has a central nervous system and a peripheral nervous system."
Snail,Helix pomatia,Gardens,Europe,Least Concern,Decomposer,"A snail is, in loose terms, a shelled gastropod. The name is most often applied to land snails, terrestrial pulmonate gastropod molluscs. However, the common name snail is also used for most of the members of the molluscan class Gastropoda that have a coiled shell that is large enough for the animal to retract completely into. When the word 'snail' is used in this most general sense, it includes not just land snails but also numerous species of sea snails and freshwater snails. Gastropods that naturally lack a shell, or have only an internal shell, are mostly called slugs, and land snails that have only a very small shell (that they cannot retract into) are often called semi-slugs. Snails have considerable human relevance, including as food items, as pests, and as vectors of disease, and their shells are used as decorative objects and are used in jewelry."
Spider,Araneae spp.,Forests,Worldwide,Least Concern,Insect control,"Spiders (order Araneae) are air-breathing arthropods that have eight legs, chelicerae with fangs generally able to inject venom, and spinnerets that extrude silk. They are the largest order of arachnids and rank seventh in total species diversity among all orders of organisms. Spiders are found worldwide on every continent except for Antarctica, and have become established in nearly every habitat with the exceptions of air and sea colonization. As of August 2022, at least 50,356 spider species in 132 families have been recorded by taxonomists. However, there has been dissension within the scientific community as to how all these families should be classified, as evidenced by the over 20 different classifications that have been proposed since 1900. Unlike insects, spiders do not have antennae."
Rose,Rosa indica,Gardens,Worldwide,Common,Cultural value,"A rose is a woody perennial flowering plant of the genus Rosa, in the family Rosaceae, or the flower it bears. There are over three hundred species and tens of thousands of cultivars. They form a group of plants that can be erect shrubs, climbing, or trailing, with stems that are often armed with sharp prickles. Their flowers vary in size and shape and are usually large and showy, in colours ranging from white through yellows and reds. Most species are native to Asia, with smaller numbers native to Europe, North America, and northwestern Africa. Species, cultivars and hybrids are all widely grown for their beauty and often are fragrant. Roses have acquired cultural significance in many societies. Rose plants range in size from compact, miniature roses, to climbers that can reach seven meters in height."
